corpusid, source, context, senseid
278645592, chile_tech, Permanecer frente a el monitor de un computador durante horas generalmente provoca malestares propios de el Síndrome de Visión de el Computador (SVC) como cansancio de los ojos dolores de cabeza visión borrosa y otras alteraciones., HEAD_00
279055336, chile_tech, En el año 2000 Compaq se colocó a la cabeza de la industria con una participación de 30.5 por ciento en ingresos por ventas de servidores Linux., LEADER_00
279112729, chile_tech, Este Portal que ha sido definido como un sitio no comercial espera ponerse en breve a la cabeza de los Portales Chilenos., LEADER_00
280118145, capital, Muchos se toman la cabeza a el recordar que la Comisión Progresa que se hizo cargo de los activos de el grupo Cruzat-Larraín en la crisis de los 80 vendió Provida en 40 millones de dólares a el Bankers Trust y hoy vale 247 millones de dólares., HEAD_00
280160900, capital, Se supone que a esas alturas a el pájaro se le ha acabado el oxígeno y ha desarrollado un músculo en la cabeza que lo obliga a picar y salir., HEAD_00
280161342, capital, Ahí desapareció toda especie viviente pero como ella tenía el mérito de esconder la cabeza y vivir en la oscuridad salió triunfante y siguió viviendo., HEAD_00
280194258, capital, La competencia la crisis asiática la obscenidad de los costos de producción de películas recientes y no en último lugar la contracción latinoamericana están dando dolores de cabeza a el ratón Mickey., HEAD_00
280208241, capital, Acabo de contratar para la oficina de California a un muchacho que viene de hacer un master en Virginia Wolf muy inteligente y con una cabeza muy precisa., INTELLIGENCE_00
280276872, capital, Sin embargo el mayor remezón que se haya visto en el grupo se produjo el año pasado cuando las cabezas de sus empresas o bien fueron despedidas o renunciaron., CHIEF_00
280408245, capital, Quien le hizo la advertencia Benjamín Claro en ese entonces cabeza de el estudio con el tiempo se convertiría no sólo en una suerte de segundo padre sino que amenazó con abandonar la oficina si no hacían socio a Ricardo Claro., CHIEF_00
280440655, capital, Sí a lo mejor vamos a terminar teniendo cada uno una parabólica en la cabeza., HEAD_00
280441046, capital, De hecho en la Entrevista de el domingo en TVN Gabriel Valdés lo mencionó entre los jóvenes que a él le gustaría ver a la cabeza de el partido., LEADER_00
280505757, capital, Mario echa la cabeza para atrás se ríe y dice que era un personaje de teatro que alguna vez inventó: y lo dice parodiando el habla de un rabino judío., HEAD_00
280509145, capital, Mario mueve la cabeza en señal de gratitud., HEAD_00
280525619, capital, Estuvo a la cabeza de la dirección ejecutiva de la Comisión Nacional de el Medio Ambiente (Conama) justo en la época en que se aprobó el estudio de impacto ambiental de el polémico proyecto Ralco., CHIEF_00
280597338, capital, Veinte mil cosas. Pero es mucho más de acá dice tocandose la cabeza., HEAD_00
280633726, capital, Es la cabeza de mercados emergentes de Templeton uno de los fondos más grandes de Estados Unidos., LEADER_00
280690090, capital, En la antigüedad cuando llegaba un mensajero con buenas noticias le daban un banquete pero si eran malas le cortaban la cabeza., HEAD_00
307296823, el_centro, Sin embargo como el fútbol carece de toda lógica cuando el duelo terminaba (a los 44) el pequeño Martel acertó con un impecable centro a el área peruana justo cuando la cabeza de Mirosevic apuntó a el pórtico de Ibáñez y Chile quedó ganando 1-0., HEAD_00
307361180, el_centro, El fallecimiento de el alto oficial de ejército quedó a el descubierto en Talca el año 1975 cuando su cadáver apareció en el cerro La Virgen con un disparo en la cabeza., HEAD_00
307449383, el_centro, En el ensayo futbolístico general apreciado ayer en el recinto maulino el equipo que denominaremos probable titular para el cotejo ante el equipo de Fernando Carvallo ganó 2-1 con anotaciones de Marco Bautista y Ramón Avila ambos de cabeza., HEAD_00
307526145, el_centro, Ahí cayó de un tragaluz mientras hacía unas reparaciones golpeandose la cabeza fuertemente., HEAD_00
307569027, el_centro, Sin embargo después que fue dado de alta el joven ha continuado con fuertes dolores de cabeza y con bastante malestar en el ojo derecho donde recibió el golpe., HEAD_00
307934065, estrella_valparaíso, Mampato tenía que volver alguna vez y de eso se encargó la gente de Cineanimadores con Alejandro Rojas y Diego Garretón a la cabeza., CHIEF_00
307966212, estrella_valparaíso, Finalmente en los relatos chinos el malvado dios Kong-Kong derriba con su cabeza una de las columnas que sostienen el cielo perforando la bóveda celeste y dejando pasar trombas de agua que ahogan toda vida., HEAD_00
308097354, estrella_valparaíso, Sin embargo Luciano Tarifeño quien está a la cabeza de el certamen que parte este domingo con la exhibición de la cinta nacional 'Antonia' no piensa así., LEADER_00
308118354, estrella_valparaíso, Esta melodía suena en la cabeza de cualquier desocupado de más de 30 años., HEAD_00
